ICD9:001	001
ICD9:001.0	001.0
ICD9:001.1	001.1
ICD9:001.9	001.9
ICD9:002	002
ICD9:002.0	002.0
ICD9:002.1	002.1
ICD9:002.2	002.2
ICD9:002.3	002.3
ICD9:002.9	002.9
ICD9:003	003
ICD9:003.0	003.0
ICD9:003.1	003.1
ICD9:003.2	003.2
ICD9:003.20	003.20
ICD9:003.21	003.21
ICD9:003.22	003.22
ICD9:003.23	003.23
ICD9:003.24	003.24
ICD9:003.29	003.29
ICD9:003.8	003.8
ICD9:003.9	003.9
ICD9:004	004
ICD9:004.0	004.0
ICD9:004.1	004.1
ICD9:004.2	004.2
ICD9:004.3	004.3
ICD9:004.8	004.8
ICD9:004.9	004.9
ICD9:005	005
ICD9:005.0	005.0
ICD9:005.1	005.1
ICD9:005.2	005.2
ICD9:005.3	005.3
ICD9:005.4	005.4
ICD9:005.8	005.8
ICD9:005.81	005.81
ICD9:005.89	005.89
ICD9:005.9	005.9
ICD9:006	006
ICD9:006.0	006.0
ICD9:006.1	006.1
ICD9:006.2	006.2
ICD9:006.3	006.3
ICD9:006.4	006.4
ICD9:006.5	006.5
ICD9:006.6	006.6
ICD9:006.8	006.8
ICD9:006.9	006.9
ICD9:007	007
ICD9:007.0	007.0
ICD9:007.1	007.1
ICD9:007.2	007.2
ICD9:007.3	007.3
ICD9:007.4	007.4
ICD9:007.5	007.5
ICD9:007.8	007.8
ICD9:007.9	007.9
ICD9:008	008
ICD9:008.0	008.0
ICD9:008.00	008.00
ICD9:008.01	008.01
ICD9:008.02	008.02
ICD9:008.03	008.03
ICD9:008.04	008.04
ICD9:008.09	008.09
ICD9:008.1	008.1
ICD9:008.2	008.2
ICD9:008.3	008.3
ICD9:008.4	008.4
ICD9:008.41	008.41
ICD9:008.42	008.42
ICD9:008.43	008.43
ICD9:008.44	008.44
ICD9:008.45	008.45
ICD9:008.46	008.46
ICD9:008.47	008.47
ICD9:008.49	008.49
ICD9:008.5	008.5
ICD9:008.6	008.6
ICD9:008.61	008.61
ICD9:008.62	008.62
ICD9:008.63	008.63
ICD9:008.64	008.64
ICD9:008.65	008.65
ICD9:008.66	008.66
ICD9:008.67	008.67
ICD9:008.69	008.69
ICD9:008.8	008.8
ICD9:009	009
ICD9:009.0	009.0
ICD9:009.1	009.1
ICD9:009.2	009.2
ICD9:009.3	009.3
ICD9:010	010
ICD9:010.0	010.0
ICD9:010.00	010.00
ICD9:010.01	010.01
ICD9:010.02	010.02
ICD9:010.03	010.03
ICD9:010.04	010.04
ICD9:010.05	010.05
ICD9:010.06	010.06
ICD9:010.1	010.1
ICD9:010.10	010.10
ICD9:010.11	010.11
ICD9:010.12	010.12
ICD9:010.13	010.13
ICD9:010.14	010.14
ICD9:010.15	010.15
ICD9:010.16	010.16
ICD9:010.8	010.8
ICD9:010.80	010.80
ICD9:010.81	010.81
ICD9:010.82	010.82
ICD9:010.83	010.83
ICD9:010.84	010.84
ICD9:010.85	010.85
ICD9:010.86	010.86
ICD9:010.9	010.9
ICD9:010.90	010.90
ICD9:010.91	010.91
ICD9:010.92	010.92
ICD9:010.93	010.93
ICD9:010.94	010.94
ICD9:010.95	010.95
ICD9:010.96	010.96
ICD9:011	011
ICD9:011.0	011.0
ICD9:011.00	011.00
ICD9:011.01	011.01
ICD9:011.02	011.02
ICD9:011.03	011.03
ICD9:011.04	011.04
ICD9:011.05	011.05
ICD9:011.06	011.06
ICD9:011.1	011.1
ICD9:011.10	011.10
ICD9:011.11	011.11
ICD9:011.12	011.12
ICD9:011.13	011.13
ICD9:011.14	011.14
ICD9:011.15	011.15
ICD9:011.16	011.16
ICD9:011.2	011.2
ICD9:011.20	011.20
ICD9:011.21	011.21
ICD9:011.22	011.22
ICD9:011.23	011.23
ICD9:011.24	011.24
ICD9:011.25	011.25
ICD9:011.26	011.26
ICD9:011.3	011.3
ICD9:011.30	011.30
ICD9:011.31	011.31
ICD9:011.32	011.32
ICD9:011.33	011.33
ICD9:011.34	011.34
ICD9:011.35	011.35
ICD9:011.36	011.36
ICD9:011.4	011.4
ICD9:011.40	011.40
ICD9:011.41	011.41
ICD9:011.42	011.42
ICD9:011.43	011.43
ICD9:011.44	011.44
ICD9:011.45	011.45
ICD9:011.46	011.46
ICD9:011.5	011.5
ICD9:011.50	011.50
ICD9:011.51	011.51
ICD9:011.52	011.52
ICD9:011.53	011.53
ICD9:011.54	011.54
ICD9:011.55	011.55
ICD9:011.56	011.56
ICD9:011.6	011.6
ICD9:011.60	011.60
ICD9:011.61	011.61
ICD9:011.62	011.62
ICD9:011.63	011.63
ICD9:011.64	011.64
ICD9:011.65	011.65
ICD9:011.66	011.66
ICD9:011.7	011.7
ICD9:011.70	011.70
ICD9:011.71	011.71
ICD9:011.72	011.72
ICD9:011.73	011.73
ICD9:011.74	011.74
ICD9:011.75	011.75
ICD9:011.76	011.76
ICD9:011.8	011.8
ICD9:011.80	011.80
ICD9:011.81	011.81
ICD9:011.82	011.82
ICD9:011.83	011.83
ICD9:011.84	011.84
ICD9:011.85	011.85
ICD9:011.86	011.86
